Site,PERI_As,PERI_Cd,PERI_Co,PERI_Cr,PERI_Cu,PERI_Fe,PERI_Hg,PERI_Mn,PERI_Ni,PERI_Pb,PERI_Zn
TGW20,0.030188679245283016,12.553506146387019,0.07646923475201042,0.007904573201137214,0.0012877358490566038,0.0015691823899371068,3.199910301065394,0.001221698113207547,0.022072145594139024,0.033962264150943396,0.00025157232704402514
TGW21,0.06226415094339621,1.1208487630702697,0.07646923475201042,0.013174288668562024,0.0012287735849056602,0.0007264150943396226,2.036306555223432,0.0005400943396226414,0.005885905491770408,0.023113207547169813,0.00020754716981132072
TGW22,0.06603773584905659,4.483395052281079,0.07646923475201042,0.0068506301076522525,0.0020400943396226413,0.0016540880503144654,4.072613110446864,0.0003820754716981132,0.019129192848253825,0.028301886792452827,0.0002172955974842767
TGW23,0.033018867924528295,13.00184565161513,0.07646923475201042,0.01580914640227443,0.002264150943396226,0.00130188679245283,5.963469197440051,0.0006415094339622642,0.012262303107855014,0.030188679245283016,0.0002638364779874214
TGW24,0.06226415094339621,1.1208487630702697,0.07646923475201042,0.010539430934849619,0.0018443396226415095,0.0010345911949685533,4.79986545159809,0.0008207547169811319,0.014714763729426018,0.02452830188679245,0.00017547169811320753
TGW25,0.04811320754716981,1.1208487630702697,0.07646923475201042,0.006323658560909771,0.0014033018867924526,0.002150943396226415,1.7454056187629419,0.0007712264150943396,0.02354362196708163,0.040566037735849055,0.00024528301886792453
TGW26,0.012264150943396225,12.553506146387019,0.07646923475201042,0.012647317121819542,0.0016061320754716978,0.0024339622641509433,6.690721538591276,0.0013349056603773586,0.019129192848253825,0.022641509433962263,0.00018930817610062894
TGW27,0.09245283018867925,16.140222188211883,0.07646923475201042,0.038995894458943595,0.0012877358490566038,0.0006886792452830188,0.14545046823024516,0.0008419811320754718,0.026486574712966834,0.037264150943396225,0.00029622641509433967
TGW28,0.017924528301886792,16.140222188211883,0.07646923475201042,0.008431544747879695,0.002191037735849057,0.0022138364779874216,3.9271626422166195,0.001035377358490566,0.025996082588652627,0.02924528301886792,0.000210062893081761
TGW29,0.03962264150943396,5.380074062737294,0.07646923475201042,0.018444004135986833,0.0019858490566037734,0.001761006289308176,0.14545046823024516,0.0007169811320754717,0.005395413367456207,0.033018867924528295,0.00024150943396226412
TGW30,0.07452830188679245,6.276753073193509,0.07646923475201042,0.006323658560909771,0.0016485849056603772,0.001327044025157233,3.199910301065394,0.0006745283018867925,0.010300334610598214,0.03867924528301886,0.00024654088050314463
TGW31,0.02547169811320755,4.035055547052971,0.07646923475201042,0.01580914640227443,0.0014575471698113204,0.0011477987421383649,4.654414983367845,0.0007264150943396226,0.014714763729426018,0.033018867924528295,0.00019654088050314464
TGW32,0.0047169811320754715,1.1208487630702697,0.07646923475201042,0.006323658560909771,0.0017028301886792452,0.0007547169811320754,3.199910301065394,0.0012452830188679246,0.01814820859962542,0.021698113207547165,0.00041635220125786165
