Site,HPI_As,HPI_Cd,HPI_Co,HPI_Cr,HPI_Cu,HPI_Fe,HPI_Hg,HPI_Mn,HPI_Ni,HPI_Pb,HPI_Zn
TGW17,0.005471698113207546,0.07472325087135132,0.07646923475201042,0.010275945161478377,0.00043820754716981133,0.0011069182389937108,0.04363514046907354,0.0011580188679245283,0.0036296417199250847,0.007735849056603773,0.00031289308176100624
TGW18,0.004905660377358491,0.03736162543567566,0.07646923475201042,0.008168058974508454,0.0004481132075471698,0.001968553459119497,0.10908785117268387,0.0006226415094339623,0.0026486574712966835,0.007264150943396226,0.00027672955974842765
TGW19,0.007924528301886793,0.5081181059251889,0.07646923475201042,0.025294634243639084,0.00034056603773584905,0.0015786163522012579,0.03636261705756129,0.0008018867924528302,0.005297314942593367,0.006320754716981132,0.00030251572327044023
TGW20,0.0030188679245283017,0.4184502048795673,0.07646923475201042,0.003952286600568607,0.00025754716981132077,0.0015691823899371068,0.07999775752663484,0.001221698113207547,0.004414429118827805,0.006792452830188679,0.00025157232704402514
TGW21,0.006226415094339622,0.03736162543567566,0.07646923475201042,0.006587144334281012,0.00024575471698113206,0.0007264150943396226,0.0509076638805858,0.0005400943396226414,0.0011771810983540816,0.004622641509433962,0.00020754716981132072
TGW22,0.00660377358490566,0.14944650174270263,0.07646923475201042,0.0034253150538261262,0.00040801886792452826,0.0016540880503144654,0.1018153277611716,0.0003820754716981132,0.0038258385696507647,0.005660377358490566,0.0002172955974842767
TGW23,0.00330188679245283,0.4333948550538376,0.07646923475201042,0.007904573201137214,0.0004528301886792453,0.00130188679245283,0.14908672993600125,0.0006415094339622642,0.002452460621571003,0.0060377358490566035,0.0002638364779874214
TGW24,0.006226415094339622,0.03736162543567566,0.07646923475201042,0.005269715467424809,0.0003688679245283019,0.0010345911949685533,0.11999663628995223,0.0008207547169811319,0.002942952745885204,0.004905660377358491,0.00017547169811320753
TGW25,0.004811320754716981,0.03736162543567566,0.07646923475201042,0.0031618292804548856,0.00028066037735849055,0.002150943396226415,0.04363514046907354,0.0007712264150943396,0.0047087243934163265,0.00811320754716981,0.00024528301886792453
TGW26,0.0012264150943396227,0.4184502048795673,0.07646923475201042,0.006323658560909771,0.0003212264150943396,0.0024339622641509433,0.16726803846478192,0.0013349056603773586,0.0038258385696507647,0.004528301886792452,0.00018930817610062894
TGW27,0.009245283018867925,0.5380074062737294,0.07646923475201042,0.019497947229471797,0.00025754716981132077,0.0006886792452830188,0.003636261705756129,0.0008419811320754718,0.005297314942593367,0.0074528301886792455,0.00029622641509433967
TGW28,0.0017924528301886792,0.5380074062737294,0.07646923475201042,0.004215772373939847,0.00043820754716981133,0.0022138364779874216,0.09817906605541549,0.001035377358490566,0.0051992165177305255,0.005849056603773585,0.000210062893081761
TGW29,0.003962264150943397,0.17933580209124314,0.07646923475201042,0.009222002067993416,0.00039716981132075467,0.001761006289308176,0.003636261705756129,0.0007169811320754717,0.0010790826734912414,0.00660377358490566,0.00024150943396226412
TGW30,0.0074528301886792455,0.20922510243978365,0.07646923475201042,0.0031618292804548856,0.00032971698113207546,0.001327044025157233,0.07999775752663484,0.0006745283018867925,0.0020600669221196425,0.007735849056603773,0.00024654088050314463
TGW31,0.0025471698113207547,0.13450185156843236,0.07646923475201042,0.007904573201137214,0.0002915094339622641,0.0011477987421383649,0.11636037458419612,0.0007264150943396226,0.002942952745885204,0.00660377358490566,0.00019654088050314464
TGW32,0.0004716981132075472,0.03736162543567566,0.07646923475201042,0.0031618292804548856,0.00034056603773584905,0.0007547169811320754,0.07999775752663484,0.0012452830188679246,0.0036296417199250847,0.004339622641509434,0.00041635220125786165
TGW33,0.0017924528301886792,0.3736162543567566,0.07646923475201042,0.008958516294622177,0.0003033018867924528,0.0009716981132075471,0.12363289799570838,0.0013938679245283018,0.005689708642044726,0.004905660377358491,0.00022830188679245282
TGW34,0.002264150943396226,0.56789670662227,0.07646923475201042,0.006323658560909771,0.00027264150943396225,0.0008333333333333333,0.14181420652448903,0.0009669811320754717,0.0022562637718453226,0.006226415094339622,0.0003044025157232704
TGW35,0.007547169811320755,0.03736162543567566,0.07646923475201042,0.0031618292804548856,0.00037830188679245283,0.002081761006289308,0.03999887876331742,0.0009316037735849057,0.005101118092867687,0.004056603773584905,0.00028238993710691824
TGW36,0.008867924528301888,0.1643911519169729,0.07646923475201042,0.0013174288668562023,0.0003311320754716981,0.0015377358490566038,0.04363514046907354,0.0007240566037735849,0.0019619684972568023,0.006981132075471698,0.0002012578616352201
TGW37,0.004905660377358491,0.10461255121989183,0.07646923475201042,0.007904573201137214,0.00032877358490566034,0.0013333333333333333,0.14181420652448903,0.0006816037735849056,0.004806822818279166,0.006792452830188679,0.00029056603773584903
TGW38,0.005849056603773585,0.31383765365967553,0.07646923475201042,0.02555812001701032,0.0003764150943396226,0.0010094339622641509,0.08363401923239096,0.00105188679245283,0.0011771810983540816,0.008207547169811319,0.0002261006289308176
TGW39,0.007924528301886793,0.31383765365967553,0.07646923475201042,0.004215772373939847,0.000435377358490566,0.0024088050314465407,0.03999887876331742,0.0012358490566037736,0.004512527543690645,0.007641509433962263,0.00016509433962264152
TGW40,0.00660377358490566,0.03736162543567566,0.07646923475201042,0.006323658560909771,0.0002466981132075472,0.0022767295597484276,0.09090654264390323,0.000525943396226415,0.0034334448701994046,0.004905660377358491,0.00035660377358490565
TGW41,0.002264150943396226,0.4184502048795673,0.07646923475201042,0.004742743920682329,0.00026981132075471696,0.001632075471698113,0.03636261705756129,0.0004292452830188679,0.0020600669221196425,0.005754716981132075,0.00028301886792452826
