organ,site,group,median,p3,p97
overall,0,Pregnant,0.00156729,0.000394158,0.00368719
overall,1,Adults,0.0102482,0.00257731,0.0241097
overall,1,Children,0.00895903,0.00225311,0.0210769
overall,1,Teens,0.0126343,0.0031774,0.0297233
overall,1,Pregnant,0.0100885,0.00253717,0.0237342
overall,2,Adults,0.00279758,0.000703563,0.00658155
overall,2,Children,0.00378973,0.000953079,0.00891567
overall,2,Teens,0.00341398,0.000858581,0.00803168
overall,2,Pregnant,0.0037435,0.000941454,0.00880692
overall,3,Adults,0.00329764,0.000829325,0.007758
overall,3,Children,0.00307918,0.000774382,0.00724403
overall,3,Teens,0.00289166,0.000727225,0.00680289
overall,3,Pregnant,0.00257819,0.000648389,0.00606542
